"","j1","j2","j3","j4","j5","j6","j7","j8","j9","j10","j11","j12","j13","j14","j15","j16","j17","j18","j19","j20","j21","j22","j23","j24","j25","j26","j27","j28","j29","j30","j31","j32","j33","j34","j35","j36","j37","j38","j39","j40","j41","j42","j43","j44","j45","j46","j47","j48","j49","j50","j51","j52","j53","j54","j55","j56","j57","j58","j59","j60","j61","j62","j63","j64","j65","j66","j67","j68","j69","j70","j71","j72","j73","j74","j75","j76","j77","j78","j79","j80","j81","j82","j83","j84","j85","j86","j87","j88","j89","j90","j91","j92","j93","j94","j95","j96","j97","j98","j99","j100"
"u12353",NA,-7.48,NA,NA,-2.57,-4.95,-3.88,5.97,NA,-9.56,3.16,-1.99,-8.79,1.7,-6.12,-0.39,-6.7,2.04,-4.22,-1.8,-1.55,-6.31,-1.31,NA,-2.09,3.83,6.84,-8.74,8.01,NA,5.05,1.21,NA,-0.58,7.91,7.82,NA,6.26,-8.16,-0.53,-5.05,-1.31,NA,NA,-4.56,-6.21,4.22,-5.97,4.66,5.44,NA,-4.9,-1.36,7.28,NA,5.05,NA,NA,NA,NA,1.75,-1.55,-9.81,NA,-0.68,5.58,NA,1.94,-1.07,-5.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.17,NA,NA,NA,NA,NA,NA,-2.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u7915",1.02,8.59,2.04,-2.33,-0.58,4.95,0.87,-1.75,-3.3,-8.35,6.5,5.19,0.19,5.78,0.15,-6.36,-3.88,1.84,0.78,-3.11,4.85,6.36,0.73,-9.9,5.97,4.71,5.53,2.96,1.21,0.24,3.64,2.43,1.84,1.99,3.5,-0.24,2.91,6.36,-4.9,3.79,8.2,5.15,-1.02,-5.05,3.5,6.94,6.17,-8.11,5.1,1.89,-1.17,3.5,-0.19,3.98,4.85,5.53,-8.3,-8.88,6.02,2.09,6.84,-2.14,5.39,-3.74,3.11,4.76,1.12,3.01,-6.02,5.58,NA,NA,3.3,NA,NA,NA,NA,NA,NA,2.72,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14,1.07,NA,NA,NA,NA,NA,NA,NA
"u23915",-6.89,-0.87,-6.5,-5.44,2.67,-3.69,-7.18,3.11,-4.42,3.69,0.1,-4.17,-7.33,-6.21,-4.13,-9.32,-0.44,-0.63,-0.63,-7.28,4.76,-2.38,-6.89,-8.16,-0.05,-2.48,-0.87,-0.24,6.07,-1.21,-4.9,3.88,-7.91,-5.24,1.41,-4.9,-0.53,-4.76,0.24,-3.16,-3.01,-0.05,-6.17,-7.91,-6.31,-3.5,-7.23,5.78,-0.34,-2.82,-7.28,-1.89,6.75,3.45,-6.75,-3.25,-7.91,-7.91,-6.36,-0.1,0.24,6.46,-6.55,3.74,6.65,5.63,-7.14,-0.73,4.42,-6.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u15759",NA,NA,NA,NA,-3.3,3.64,7.72,1.94,NA,NA,2.43,1.55,3.01,-2.23,1.17,3.5,-6.55,-5.1,5.58,-8.2,-1.36,NA,NA,NA,NA,-0.68,-6.31,5.49,0.53,NA,3.74,7.62,NA,NA,-2.52,5.97,NA,8.5,NA,-2.33,NA,3.16,NA,-2.23,NA,7.72,NA,-2.28,6.6,9.08,NA,NA,1.21,-4.51,NA,-3.64,NA,NA,NA,NA,2.18,-1.6,NA,NA,-2.38,2.72,NA,-2.62,5.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,7.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u3167",-2.18,-7.57,-3.5,-7.09,-5.87,-2.04,-7.91,-1.7,-2.77,0.39,1.21,-4.27,-8.45,-0.92,0.73,-5.39,0.34,-3.98,-6.75,-0.97,3.01,-4.13,-1.65,-3.35,-6.21,-3.16,1.99,-3.69,-0.68,-7.77,-0.78,-1.5,-7.77,0.39,-0.87,-0.49,-2.57,-1.75,-2.86,-3.3,-6.31,0.53,-6.07,-5.44,-1.12,-3.98,-2.91,1.02,2.43,-0.24,-7.67,-6.99,-0.87,-1.12,-4.61,-4.66,-6.94,-6.07,-2.77,-7.43,0.39,-6.02,-5.58,-4.85,2.43,-1.07,-4.42,0.58,-2.04,-2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u10513",7.23,1.75,2.18,-5.68,4.37,-0.63,8.35,1.6,-7.67,-9.51,1.02,3.79,1.84,-0.73,-5.15,-1.6,3.69,3.79,5.73,7.82,-1.55,-5.29,8.83,-1.12,-1.89,-1.07,0.78,1.21,4.32,-5.97,2.86,6.21,-5.97,1.26,6.41,4.22,6.84,-5.73,-1.12,2.09,-5.29,-2.09,-5.83,-5.15,4.17,1.8,-9.13,-0.39,0.73,7.14,-3.88,-9.47,-0.34,8.06,-5.68,-0.87,-9.66,-5.39,6.55,-9.76,6.65,2.57,7.62,-6.26,-0.24,6.07,6.41,8.69,2.96,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.83,NA,NA,NA,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.99
"u22720",9.37,-4.27,8.64,-2.91,8.69,-8.06,9.32,5.73,4.17,4.56,2.43,0.39,-7.43,-9.81,0.97,-4.71,-3.01,0.29,2.18,7.91,7.96,9.17,0.58,7.86,1.36,-4.42,5.34,-5.97,3.11,-6.75,6.99,-1.31,7.52,4.61,6.07,4.42,5.73,7.62,0.1,-2.82,-5.92,-4.9,0.63,5.58,3.69,1.21,-2.91,1.5,0.92,5.73,0.39,4.08,-1.89,-1.8,5.87,-8.16,3.59,-7.14,2.67,2.28,3.54,6.07,4.71,-1.26,-3.64,2.67,-4.13,2.14,5.68,3.01,1.84,7.28,-5.29,-5.68,-7.14,1.55,-6.31,6.84,-4.95,1.46,-9.17,-4.66,-3.2,1.55,5.53,-3.4,3.64,0.73,2.77,4.71,3.16,-3.69,2.62,1.99,9.22,7.57,3.2,-3.54,4.22,8.2
"u11624",NA,NA,NA,NA,1.65,NA,3.4,2.72,NA,NA,NA,NA,2.96,NA,2.96,2.96,1.12,3.35,-3.3,-3.06,2.72,NA,NA,NA,1.36,-0.24,3.64,NA,1.7,NA,2.48,2.82,NA,NA,3.54,3.59,NA,2.96,NA,3.4,NA,2.48,NA,NA,NA,NA,NA,2.82,1.46,3.3,3.3,NA,1.46,-1.36,NA,2.52,NA,NA,NA,2.52,3.01,2.48,NA,NA,3.64,3.11,NA,2.86,0.39,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.64,NA,NA,NA,NA,NA,NA,NA
"u22566",NA,NA,NA,NA,-7.33,NA,-8.45,-9.22,NA,NA,NA,NA,-9.22,NA,-9.03,-3.54,-3.2,-2.28,-0.15,-9.03,-2.52,-3.4,NA,NA,NA,-0.19,1.21,1.02,0.15,NA,-2.38,1.17,NA,NA,2.28,-2.48,NA,NA,-6.65,-9.81,NA,-1.94,NA,NA,NA,-0.24,-4.95,-6.31,2.14,-8.54,NA,NA,-1.41,NA,0.24,-4.17,NA,NA,NA,NA,-1.65,-3.01,NA,NA,-7.28,0.97,NA,-1.65,-2.62,NA,NA,NA,NA,NA,NA,NA,NA,-3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.9,NA,NA
"u14852",NA,NA,NA,NA,-9.32,4.17,5.73,-0.1,NA,7.43,NA,5.63,0.29,2.86,-8.01,3.06,0.29,2.43,3.79,3.69,1.7,NA,NA,NA,NA,2.18,8.3,1.7,-3.35,NA,4.32,6.8,NA,4.32,3.98,1.8,NA,7.67,4.37,NA,NA,-0.24,NA,NA,NA,NA,NA,8.25,3.25,6.7,NA,-7.18,4.47,0.15,NA,3.54,NA,NA,-3.79,NA,-6.36,6.41,NA,NA,0.49,-7.91,NA,3.01,-0.97,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97,2.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u15696",NA,-8.59,NA,NA,-3.01,-4.71,-8.79,8.5,NA,-5.29,-6.31,-6.5,-0.68,-5.34,6.31,-9.51,-7.09,0.92,-7.48,-6.26,-6.6,-6.6,-8.74,NA,-8.88,-5.73,-1.65,-2.96,2.04,NA,-0.87,4.66,NA,-1.17,1.17,-1.36,NA,-5.19,-3.06,-3.79,NA,0.1,NA,NA,0.58,1.94,-4.47,-2.67,-1.7,0,-6.31,-4.61,-2.91,-8.45,-7.04,-0.39,NA,NA,NA,NA,0.49,0.05,NA,1.26,1.75,-3.4,NA,-8.83,-0.1,-2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u21594",4.81,-8.06,5.24,0.58,-7.18,-4.08,-2.18,-7.23,-8.69,1.55,-4.85,-5.78,-7.09,-6.21,6.12,-7.43,3.06,-6.84,-6.75,-6.89,1.65,-6.17,-5.73,2.72,3.64,-3.59,2.62,-9.37,-7.91,-5.68,-1.02,-7.82,-6.6,-3.69,-7.38,0.73,2.72,-5.78,0.1,-3.93,-5.05,-5.92,-5.05,-5.05,6.8,1.17,-7.28,-6.41,-6.21,5.19,-8.01,-1.02,2.23,-6.55,-4.03,0.53,-5.24,-1.26,-7.77,-2.23,3.54,-8.5,-5.92,5.83,-6.17,0.1,-7.82,-4.66,-8.3,0.78,-7.18,-7.28,-7.38,-7.72,-7.72,-7.72,-7.72,-7.72,-7.72,-7.86,-8.11,-8.16,2.62,-6.46,-7.38,-7.38,-7.57,-7.91,-7.91,-7.09,-7.14,-6.89,-7.09,-7.04,-7.04,-7.09,-5.92,-6.02,-8.25,-4.85
"u12490",2.23,2.96,3.5,1.21,-3.2,2.48,-6.5,1.46,0.92,2.62,1.99,2.33,-0.73,1.17,-1.75,-2.04,1.8,-1.07,-1.65,0.24,3.88,1.55,1.17,3.06,3.3,2.28,3.11,2.86,6.5,2.91,1.99,1.41,3.79,3.5,-1.26,0.73,3.2,1.75,2.28,1.8,3.06,2.09,1.36,2.43,3.69,1.94,1.21,2.48,2.28,1.7,-0.63,2.82,3.5,1.94,2.23,1.84,3.5,2.62,2.38,2.91,1.99,1.99,1.17,0.39,0.83,0.53,1.41,3.83,2.33,2.86,NA,NA,1.31,0.92,1.26,-0.73,1.5,-0.34,1.6,6.84,3.79,3.01,3.2,2.91,3.35,2.96,3.06,3.16,2.82,-0.58,-0.87,0.92,0.97,1.21,2.62,2.18,3.16,2.86,3.74,4.03
"u24436",NA,-4.32,NA,NA,-8.2,-3.74,-5.73,4.56,NA,-5.19,-2.96,-4.17,-0.58,5.44,-5.39,-8.35,4.56,1.02,-3.93,1.99,4.81,1.36,-4.22,NA,-3.4,3.88,3.16,3.2,1.8,NA,4.81,4.76,NA,-4.17,4.56,4.81,NA,4.32,6.07,-5.05,-6.26,6.41,-6.26,NA,-4.08,4.81,3.88,3.88,4.37,4.9,-5.49,-5.44,1.94,0.58,-6.26,3.88,NA,NA,NA,NA,3.88,5.29,-6.84,NA,5.15,4.56,-5.34,4.37,4.56,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u8059",NA,NA,NA,NA,6.75,NA,3.88,3.64,NA,8.16,2.09,2.86,1.89,-0.1,2.77,3.59,-4.17,4.08,2.48,7.38,1.6,2.09,NA,NA,NA,3.4,6.8,7.52,8.45,5.24,5.73,-6.26,NA,NA,3.69,5.83,NA,7.38,-4.66,6.94,3.06,4.71,NA,NA,2.96,5.68,6.75,6.7,6.12,-7.18,NA,NA,0.49,4.66,NA,5.15,NA,NA,NA,-8.2,0.58,4.85,6.26,NA,8.06,4.81,NA,6.07,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5.29,-3.74,NA,NA,NA,NA,NA,NA,5.73,NA,NA,NA,NA
"u11958",-6.36,-5.19,-4.9,-4.56,-8.01,4.76,-4.61,-8.16,-4.61,-5.92,-4.85,-5.34,-8.01,-4.66,-7.96,-7.96,-7.91,-7.91,-0.39,-1.07,-3.69,-4.81,-5.19,-4.47,-4.76,-4.27,2.23,-4.37,-4.95,2.62,-5.53,-4.9,-4.47,-5.15,-5,1.07,-4.71,-5.63,-4.13,-4.71,-4.56,-4.37,-4.47,-4.56,-4.81,-4.22,-5.24,-4.27,-5.05,-4.9,-3.93,-4.85,-4.9,-4.56,-4.76,-5.05,-4.51,-4.32,-3.93,-4.47,-4.03,2.38,-4.85,-4.56,-5.68,0.34,-5.19,0,-5.63,-4.85,NA,NA,NA,-4.61,NA,NA,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.86
"u8868",-6.65,5.44,-8.3,-9.08,-4.56,-5.83,6.6,-8.69,-9.17,-6.41,6.36,-3.45,-8.54,-5.63,-8.54,-8.69,-8.88,-5.68,-5.68,-5.68,0.24,-9.61,-5.34,-9.32,-6.46,8.59,8.45,-4.9,8.4,-9.08,6.89,1.65,-9.56,0.39,6.94,6.02,-9.08,-1.07,-5.63,-7.09,-9.61,1.36,-8.98,-8.3,-9.61,-3.79,-9.61,3.11,-5.19,8.74,-9.61,-5.78,8.01,5.73,-9.17,5.78,-8.3,NA,-9.08,-9.03,5.58,8.59,-9.9,-9.27,7.67,5.29,-8.3,1.17,6.07,-9.61,5.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
"u15586",-3.54,-5.29,-4.42,-5.87,6.36,-9.08,-7.91,3.64,-5.87,5.1,0.44,-4.42,-2.96,7.23,-9.08,-3.74,-7.91,-0.83,-7.52,-9.08,-5.29,-5.29,3.06,-8.59,-3.74,1.6,4.42,2.09,1.8,-7.23,3.35,4.51,-8.11,-2.48,3.35,0.63,0.53,1.31,0.34,4.61,-2.96,4.42,-4.03,-5.87,-6.07,-3.64,-8.88,-5.19,-0.34,3.64,-7.14,-4.42,1.41,4.61,4.22,-1.41,-9.47,0.05,-5.19,-8.4,-4.22,-0.24,-7.14,-7.14,5.39,-4.32,-1.41,-4.22,-1.31,-9.76,-6.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u18420",NA,NA,NA,NA,8.06,0.97,-9.9,1.17,NA,-1.75,1.12,-0.87,8.2,1.12,-5.15,-7.52,4.17,-4.85,-0.53,2.96,9.22,NA,NA,NA,NA,7.72,3.45,1.26,8.93,NA,-5.49,8.54,NA,NA,6.26,9.13,-7.09,NA,1.17,1.12,NA,3.11,NA,NA,NA,6.84,6.7,3.79,5.58,9.27,NA,NA,9.13,9.13,NA,4.37,NA,NA,NA,NA,-0.39,6.31,NA,NA,1.7,8.35,NA,2.91,2.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.52,NA,NA,8.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53,NA,NA,NA,NA
"u14057",6.89,-0.24,-5.87,-0.58,5.24,1.65,3.11,-3.2,-0.49,8.16,4.13,2.23,-6.99,0.87,2.91,0.92,-2.77,-0.29,-6.36,-6.12,7.62,0.73,0.92,-3.83,7.04,5.58,5.92,2.14,4.71,-0.39,3.93,6.41,-6.75,-1.99,6.65,6.84,-3.79,1.26,0.87,2.04,0.83,0.73,2.48,6.26,2.52,2.38,2.67,4.27,8.45,7.86,-6.12,0.05,4.17,1.84,2.28,6.8,-2.77,-5.58,-3.25,-0.39,0.73,6.6,-1.5,-8.2,2.23,6.41,2.18,1.07,2.48,-0.97,NA,NA,NA,NA,NA,NA,NA,-0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.65,0.97,-0.53,6.7,2.67,-3.35,-0.39
"u24358",-9.56,-9.9,NA,NA,-8.06,-6.17,-9.22,-7.28,NA,-9.9,-9.9,-9.17,-7.48,-8.01,-9.56,-3.69,1.12,-9.42,-8.2,-7.77,-9.22,-9.42,-4.08,NA,2.57,-7.91,-0.39,-9.22,-9.51,-9.95,-9.85,-8.54,NA,-9.22,-8.74,-9.81,NA,-9.13,-7.77,-1.7,NA,-9.37,NA,NA,-4.27,-9.76,-9.51,-7.91,-9.9,-9.9,5.68,-5.05,-8.74,1.94,-2.52,-7.52,NA,NA,NA,NA,-8.16,-9.08,-9.9,NA,-9.56,-9.81,-9.61,-9.42,-9.95,-4.81,-9.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u14325",2.18,5.34,0.34,3.74,1.75,4.47,1.21,2.23,2.18,4.56,5.44,3.11,3.35,2.48,5.15,1.8,2.96,1.89,-0.44,0.29,7.43,1.41,4.42,2.18,2.28,7.14,5.05,4.08,3.45,0.97,1.99,1.21,2.43,2.62,4.66,3.4,1.12,2.04,3.25,0.78,3.25,0.78,-0.49,2.91,0.49,5.1,3.35,8.3,7.77,2.57,0.97,1.46,0.15,6.31,1.17,4.81,-0.58,-9.85,5.05,-2.18,5.05,5.19,4.51,0.24,4.32,3.98,-0.05,2.38,2.77,1.07,7.52,2.82,6.75,-3.25,0.44,2.62,4.9,2.33,4.9,4.47,-3.5,-5.05,-0.29,-3.74,1.55,-4.42,-0.53,2.14,6.17,1.36,3.3,-3.35,1.07,-2.72,0.44,0.05,5.53,3.5,1.21,4.13
"u10903",-5.24,-0.53,-5.39,-4.66,3.3,6.84,0.87,2.91,1.75,2.52,1.75,2.86,-2.28,3.69,7.57,-1.6,-4.71,-7.04,7.72,5.58,-1.89,2.82,-0.78,-0.78,3.54,6.07,-1.7,2.82,-5.83,2.43,5.24,7.91,-0.49,1.36,3.64,0.68,-2.72,-3.64,1.26,-4.51,0.97,6.07,2.48,3.3,-1.7,3.06,1.89,-3.35,4.66,1.7,-0.53,0.53,6.55,6.21,4.08,2.38,-8.5,-0.97,-3.5,1.46,6.65,8.01,2.23,-2.62,3.16,1.75,-2.23,0.1,0.87,2.28,NA,5.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u5677",-6.31,-2.09,9.08,-5.53,9.03,-5.29,5.53,-1.36,-4.85,-3.98,2.18,-3.93,4.66,5.63,-9.03,7.96,-2.72,-4.32,-6.89,-6.89,8.3,4.71,-0.68,2.86,-4.37,6.07,3.35,8.45,8.2,0.19,-5.58,2.62,5.39,3.5,-4.85,-4.76,-6.02,-3.79,9.08,-7.96,9.08,6.02,-1.99,5.73,-8.06,6.02,8.69,9.08,8.79,7.57,5.53,3.93,-0.68,-5.68,-0.34,-1.8,5.78,5.78,-3.88,3.93,8.4,8.3,9.08,-5.53,4.85,-1.31,6.5,7.72,5.05,4.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.08,NA,NA,NA,NA,NA,NA
"u2041",3.25,5.19,2.28,-8.54,-6.46,-3.59,-7.18,-2.04,-8.59,2.82,4.81,5.39,-3.83,-3.06,-5.73,-9.56,-4.42,-8.93,1.65,1.02,-1.7,-3.11,-5.34,-8.79,3.11,5.05,5.19,-4.22,2.91,-5.53,-0.53,5,4.03,3.83,5.24,1.17,-8.93,-1.94,3.5,6.6,-7.09,0.19,-5.63,-9.95,4.61,-5.97,-1.55,1.07,2.14,3.98,-5.1,4.47,1.41,5.58,-8.01,4.13,-9.9,-9.51,1.31,-8.93,4.71,0.39,1.8,-8.59,5.58,5.1,-8.83,1.8,3.11,-7.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.75,NA,-4.42,-8.25,-4.71,-8.74,-9.13,4.08,-9.37,6.5
"u21113",NA,7.48,7.04,NA,7.23,-0.44,7.67,-7.72,NA,-8.4,-6.65,6.46,5.63,-0.29,-7.57,-7.86,3.98,-7.04,6.12,-8.01,-5.73,-1.46,-7.09,NA,1.26,2.62,6.7,-6.7,7.43,NA,4.66,2.28,NA,1.21,7.72,7.23,NA,3.3,5.49,3.2,-7.09,5.49,NA,NA,-7.09,4.81,-7.57,-6.46,3.54,8.06,6.36,6.36,2.77,6.7,NA,2.86,NA,NA,NA,NA,-6.5,-7.77,NA,NA,-6.26,2.86,NA,3.54,5.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u5827",NA,-9.22,NA,NA,8.35,NA,4.17,7.67,NA,NA,NA,NA,-1.7,NA,-2.62,-8.59,0.34,-6.02,-9.76,-9.61,0.44,-9.56,NA,NA,NA,-8.54,3.25,-3.5,8.16,NA,-8.25,-1.17,NA,8.64,8.3,8.16,NA,NA,-8.93,NA,NA,-1.36,NA,NA,NA,8.06,NA,-9.61,-8.88,2.57,-7.96,NA,8.69,0.68,NA,1.07,NA,NA,NA,NA,-8.83,5.97,NA,NA,8.2,-8.54,NA,-8.79,0,NA,NA,NA,3.11,5.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.88,NA,NA,NA,NA
"u24535",NA,NA,NA,NA,5.34,NA,9.03,7.28,NA,NA,5.73,NA,-4.95,NA,-6.12,5.15,-0.29,9.03,-0.29,4.56,0.49,NA,NA,NA,NA,3.98,9.22,4.17,1.07,NA,-4.56,6.7,NA,NA,0.29,9.22,NA,1.46,1.46,-1.84,NA,6.89,NA,0.49,-1.84,2.43,NA,-3.59,3.4,-0.1,NA,NA,7.28,2.23,NA,3.79,NA,NA,NA,NA,-2.82,5.53,NA,NA,7.67,-5.34,NA,1.65,4.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.31,NA,9.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"u14944",0.49,-8.45,-2.72,-8.74,2.09,-8.3,-5.73,-1.46,-4.27,-4.95,-8.25,-8.25,-1.65,-8.79,-5.24,-8.98,0.92,1.46,-6.55,-0.24,-8.83,-4.13,-5.53,-8.93,-8.2,-8.2,-7.09,-3.16,4.76,-8.4,-8.35,-7.18,-8.01,-7.33,-7.91,-0.63,-2.23,4.32,-8.69,-5.92,-2.62,-9.42,-7.52,-5,-5.19,-9.61,-3.59,-4.42,-5.58,1.84,-8.98,-7.14,-4.17,-9.51,-4.66,-7.09,-6.94,-6.12,-7.96,-3.93,-8.5,-7.82,-6.26,-6.99,-6.75,-1.55,-4.27,-3.3,-7.96,-8.98,NA,NA,-9.42,-0.1,-7.67,-1.7,-4.17,-6.84,-5.63,-8.69,-3.64,1.17,-2.33,-6.89,-8.83,-5.1,-5.58,-5.63,-6.12,-2.14,-1.31,-2.33,-5.29,-6.02,-4.03,-8.35,-3.25,-8.98,-3.2,-9.13
"u24795",-9.66,-9.76,2.48,-9.81,-8.88,-6.75,4.08,1.99,-3.01,-0.87,2.86,-6.94,-9.22,-9.9,1.21,4.71,-7.48,4.22,-1.8,1.65,-9.9,-9.81,0.24,-9.56,-9.81,-9.9,-2.33,-6.94,-9.61,-6.94,-9.9,0.97,-9.81,-9.71,-9.71,-9.56,-9.76,-9.81,-4.71,-0.1,-9.81,-9.32,-9.85,0.87,2.43,-9.76,-0.78,-0.44,-9.66,-0.44,-9.9,-9.71,-9.66,-9.9,-2.28,-3.69,-0.44,-9.71,-9.9,-1.7,-9.66,-2.23,-1.7,-0.29,-9.66,-9.85,-4.37,0,-9.66,-3.25,4.13,0.87,-0.53,-9.22,1.46,-9.42,-3.83,-6.26,-9.42,-9.42,-9.9,-2.23,-1.8,2.04,-9.81,-1.7,0.49,-0.29,6.26,-2.04,-0.34,-9.56,-2.72,0.44,-0.49,0.19,-2.86,-0.58,-9.71,-9.56
"u9325",-8.59,-4.95,8.79,8.54,5.34,-9.08,-3.74,3.98,-7.91,-9.95,5.58,-7.43,-4.42,0.44,3.88,6.84,2.96,-7.96,4.76,5.05,4.42,1.17,8.59,-8.25,8.69,-7.82,-2.33,-6.31,-0.53,8.79,-6.41,-9.76,-8.59,8.06,-1.17,8.59,-8.06,-3.16,5.92,8.98,8.01,8.74,8.79,-8.25,4.71,-2.09,-8.5,3.64,-7.77,6.31,8.79,7.23,-6.21,-6.94,-6.26,-7.72,-8.25,-8.25,8.3,7.67,-4.95,-1.46,-9.27,-8.83,-2.52,-2.33,-3.59,-1.99,-2.38,-9.03,NA,NA,NA,NA,NA,NA,8.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.74,NA,NA,NA,5.58,NA,NA,NA,NA,NA,NA,NA
"u13781",1.99,1.7,-4.95,-4.95,-2.82,3.88,1.07,-5,1.94,-4.17,2.57,2.77,1.89,3.3,0.78,-2.33,-1.5,1.26,2.28,-0.83,-2.43,2.52,-4.08,-4.71,1.6,3.3,3.35,1.02,5.24,-4.76,4.95,3.64,-4.17,2.96,0.83,3.93,1.99,0.34,2.57,-4.85,-4.17,6.41,-4.71,-5.29,-2.14,3.3,4.56,3.93,5.73,0.78,2.62,-4.17,5.19,3.79,-0.29,2.91,-5,-4.95,1.12,-5.63,3.3,2.86,0.49,-5.29,5.58,3.11,-4.17,6.5,3.83,-2.48,7.33,7.33,7.33,2.48,2.57,3.16,-3.59,-5.68,3.74,2.38,1.41,1.21,2.09,-1.55,-6.41,-6.41,1.17,7.91,8.25,-8.64,4.51,6.07,6.36,-8.83,-1.55,7.48,8.54,3.4,-4.56,3.79
"u10661",1.84,-2.09,-5.1,-4.42,0.53,5.39,6.02,-8.16,-5.73,-2.18,-4.85,4.03,2.18,4.03,2.04,-1.99,5.24,-1.99,3.06,3.01,-6.84,-5.1,-5.34,-2.48,4.03,1.12,3.74,4.81,-4.27,1.26,2.62,1.65,-2.09,-4.22,-0.73,1.07,-2.09,-8.3,0.97,4.42,-2.72,-8.4,-9.32,-4.17,-0.97,-5.15,0.44,1.6,1.17,-7.91,-2.72,3.93,4.51,3.54,0.1,-6.21,-3.11,-1.41,4.13,-0.63,-5.29,7.28,2.67,-5.44,2.14,3.01,2.67,7.57,1.8,1.8,NA,NA,NA,NA,NA,NA,NA,NA,1.17,6.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
